State,E-Government Development,Online Service Index,Telecommunications Infrastructure Index,Human Capital Index
Malawi,0.2708,0.2569,0.0834,0.472
Democratic Republic of the Congo,0.2612,0.2083,0.0645,0.5108
Afghanistan,0.2585,0.3056,0.1138,0.3562
Mali,0.2424,0.2639,0.2074,0.2558
Djibouti,0.2401,0.2917,0.0961,0.3325
Sudan,0.2394,0.1528,0.178,0.3873
Guinea,0.2348,0.3125,0.1513,0.2406
Comoros,0.2336,0.0972,0.0871,0.5166
Mauritania,0.2314,0.1597,0.1878,0.3467
Equatioral Guinea,0.2298,0.0486,0.101,0.5397
Democratic People's Republic of Korea,0.2159,0,0.0327,0.615
Yemen,0.2154,0.0972,0.1454,0.4037
Guinea-Bissau,0.1887,0.0764,0.1028,0.3869
Central African Republic,0.1584,0.2083,0.0322,0.2347
Eritrea,0.1337,0.0833,0,0.3179
Chad,0.1257,0.1458,0.0669,0.1644
South Sudan,0.1214,0.1111,0.0262,0.2269
Niger,0.1095,0.1597,0.0795,0.0894
Somalia,0.0566,0.1111,0.0586,0
