domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
au.usembassy.gov,121620,233011,89794,1.915893767,90.97206052,118210
esd.whs.mil,121620,258017,97751,2.121501398,121.6917201,121620
dz.usembassy.gov,120483,279613,87521,2.320767245,178.0667729,119347
nepis.epa.gov,120483,530809,111390,4.405675489,185.7743499,127303
usar.army.mil,120483,196638,89794,1.632080874,114.8966991,118210
wonder.cdc.gov,120483,514896,103434,4.273598765,214.8593744,123893
ncei.noaa.gov,119347,170496,90931,1.428573823,71.26658399,112527
wwwn.cdc.gov,119347,284159,119347,2.380947992,171.9902721,114800
edsitement.neh.gov,117074,217098,92068,1.854365615,169.6207612,110254
kr.usembassy.gov,117074,264836,88658,2.26212481,73.58226421,121620
auth.cdc.gov,115937,237557,53422,2.049018001,137.6077784,115937
securityawareness.usalearning.gov,115937,217098,71608,1.872551472,205.6469634,115937
blog.ed.gov,114800,146626,118210,1.277229965,28.98027875,121620
disasterassistance.gov,114800,538766,78428,4.693083624,159.1192422,114800
svs.gsfc.nasa.gov,114800,353494,96614,3.079216028,225.456054,142080
postalpro.usps.com,113664,248923,88658,2.189989794,72.8297878,111390
ers.cr.usgs.gov,112527,737677,73881,6.555555556,373.0001244,122757
imagine.gsfc.nasa.gov,112527,314848,101161,2.797977374,170.3434909,114800
esrl.noaa.gov,111390,288706,61378,2.59184846,246.9600772,111390
nlrb.gov,111390,203458,92068,1.826537391,68.93902505,111390
pe.usembassy.gov,111390,263700,71608,2.367357932,224.5518269,107980
transit.dot.gov,111390,395550,73881,3.551036897,165.3883472,110254
dtops.cbp.dhs.gov,110254,1275306,25006,11.5669817,474.1948591,112527
projectreporter.nih.gov,110254,1145730,72745,10.39173182,426.9990839,114800
veteran.mobile.va.gov,109117,548996,88658,5.031260024,453.4692761,50012
nationalguard.mil,107980,144353,86384,1.336849417,80.09510094,107980
fees.uspto.gov,105707,500120,78428,4.731190933,283.3016546,208005
j1visa.state.gov,105707,310302,82974,2.9354915,172.5379871,107980
missingmail.usps.com,105707,137533,82974,1.301077507,150.5379398,109117
store.samhsa.gov,105707,308029,93204,2.913988667,172.8283084,107980
dcsa.mil,104571,294389,82974,2.815206893,129.3146953,104571
itis.gov,104571,619467,69335,5.923889032,380.6397758,104571
2016.export.gov,103434,187545,96614,1.81318522,54.41755129,103434
cfpub.epa.gov,103434,197775,103434,1.912088868,123.4944409,107980
ebuy.gsa.gov,103434,888850,29553,8.593402556,464.1975463,101161
sbir.gov,103434,293252,81838,2.835160585,152.1317845,103434
pl.usembassy.gov,102297,213688,65925,2.088898013,176.3116416,104571
ehp.niehs.nih.gov,101161,234147,86384,2.314597523,123.1119601,100024
mobile.va.gov,101161,265973,82974,2.629204931,174.1455007,101161
nicsezcheckfbi.gov,101161,120483,30689,1.191002461,79.28064175,101161
npdb.hrsa.gov,101161,136396,52285,1.348306165,241.5160684,56832
reginfo.gov,101161,678572,65925,6.707841955,191.2240982,101161
ntrs.nasa.gov,100024,323941,82974,3.238632728,226.9091718,101161
pmm.nasa.gov,100024,228464,84111,2.284091818,209.3068863,101161
water.usgs.gov,100024,223917,90931,2.238632728,136.1477745,101161
bhw.hrsa.gov,98887,211414,68198,2.137935219,114.2648275,85248
fvap.gov,98887,244377,78428,2.471275294,196.9778029,98887
vacanteen.va.gov,98887,169359,85248,1.712651815,178.7708293,98887
accessgudid.nlm.nih.gov,97751,596734,63652,6.104633201,417.9524608,98887
beta.nsf.gov,97751,109117,97751,1.116275025,5.302308928,96614
bjs.gov,97751,253470,81838,2.593016951,125.5810887,97751
nationalgangcenter.gov,97751,126167,25006,1.290697793,133.9066506,97751
usability.gov,97751,177315,75018,1.813945637,81.26724023,97751
history.nasa.gov,96614,162539,98887,1.682354524,70.22362184,101161
19january2017snapshot.epa.gov,95477,139806,96614,1.464289829,74.52418907,92068
ba.usembassy.gov,95477,147763,22733,1.547629272,82.21470092,94341
cfo.usps.com,95477,431922,53422,4.523832965,478.835772,93204
cpars.gov,95477,196638,43192,2.059532662,224.6916221,95477
vehiclehistory.gov,95477,244377,71608,2.559537899,204.0010369,94341
airuniversity.af.edu,94341,205731,73881,2.180716762,137.6383333,94341
floodsmart.gov,94341,148899,54559,1.578306357,111.8431965,92068
trumanlibrary.gov,94341,130713,75018,1.385537571,106.5178978,94341
campbell.armymwr.com,93204,435332,18186,4.670743745,737.7455903,94341
es-store.usps.com,93204,123893,65925,1.329266984,43.08546843,92068
espanol.epa.gov,93204,135260,92068,1.451225269,54.79280932,95477
archive.epa.gov,92068,151173,84111,1.641971152,140.9376222,89794
cool.navy.mil,92068,148899,76155,1.617272016,106.0118608,93204
ftccomplaintassistant.gov,92068,421692,82974,4.580223313,291.6653235,90931
psnet.ahrq.gov,92068,136396,76155,1.481470218,85.18479819,90931
scijinks.gov,92068,113664,89794,1.234565756,41.14795586,92068
bones.nih.gov,90931,119347,89794,1.312500687,75.04994996,92068
eitc.irs.gov,90931,1418523,82974,15.5999934,769.5244856,105707
es.usembassy.gov,90931,245514,57968,2.700003299,144.1374009,86384
fedshirevets.gov,89794,262563,75018,2.924059514,148.5194891,88658
hiv.va.gov,89794,138670,75018,1.544312538,87.5825779,89794
mcc.gov,89794,169359,80701,1.886083703,100.2914783,89794
nspires.nasaprs.com,89794,1030930,26143,11.48105664,337.7479787,89794
nij.ojp.gov,88658,229601,75018,2.589738095,142.6276704,87521
account.mymedicare.gov,87521,160266,69335,1.831171947,149.0000457,77291
airforcemedicine.af.mil,87521,212551,79565,2.428571429,123.1429028,88658
eg.usembassy.gov,87521,170496,72745,1.94805818,77.42859428,87521
fletc.gov,87521,455791,59105,5.20779013,208.5844883,87521
msha.gov,87521,204595,53422,2.337667531,85.11690908,86384
secsearch.sec.gov,87521,188682,84111,2.155848311,238.5325465,42056
spangdahlem.af.mil,87521,100024,72745,1.142857143,57.18184207,87521
access-board.gov,86384,223917,72745,2.592111965,114.5663086,86384
chem.nlm.nih.gov,86384,375090,61378,4.342123541,125.27688,75018
doleta.gov,86384,268246,75018,3.105274125,114.8294707,88658
fas.usda.gov,86384,645610,63652,7.473721986,167.9086636,85248
pubag.nal.usda.gov,86384,118210,80701,1.368424708,64.90818902,86384
search.treasury.gov,86384,210278,61378,2.43422393,103.5399495,92068
2009-2017.state.gov,84111,121620,78428,1.445946428,77.121732,79565
apps.bea.gov,84111,459201,57968,5.459464279,296.4058209,103434
first.uscis.gov,84111,168222,42056,2,169.4597021,81838
innovation.cms.gov,84111,148899,67062,1.77026786,112.810976,88658
nhsc.hrsa.gov,84111,194365,62515,2.31081547,93.27040458,94341
pfsr.usps.com,84111,88658,54559,1.054059517,67.24333321,78428
urs.earthdata.nasa.gov,84111,323941,51149,3.851351191,167.8786128,80701
bia.gov,82974,228464,64788,2.753440837,175.1654012,82974
intern.nasa.gov,82974,101161,64788,1.219189144,92.6717767,79565
search.justice.gov,82974,119347,50012,1.438366235,44.8358763,75018
pubs.er.usgs.gov,81838,136396,80701,1.66665852,120.4164447,88658
gt.usembassy.gov,80701,142080,62515,1.760572979,71.8311669,82974
jtfcs.northcom.mil,80701,176179,1137,2.183108016,695.1708157,80701
kids.niehs.nih.gov,80701,160266,67062,1.985923347,67.84524355,79565
vote.gov,80701,150036,79565,1.859159118,21.40850795,80701
pubs.niaaa.nih.gov,79565,118210,87521,1.485703513,97.45662037,80701
rma.usda.gov,79565,131850,47739,1.657135675,61.51395714,72745
fpds.gov,78428,533083,35236,6.797100525,308.6519228,78428
hk.usconsulate.gov,78428,189818,43192,2.420283572,243.2316775,78428
hqmc.marines.mil,78428,136396,68198,1.739123782,105.4926684,79565
blogs.cdc.gov,77291,104571,76155,1.352951831,41.19134181,82974
apprenticeship.gov,76155,186408,60242,2.447744731,88.82049767,76155
choosework.ssa.gov,76155,281886,55695,3.70147725,229.4467468,77291
effectivehealthcare.ahrq.gov,76155,117074,68198,1.537312061,37.04460639,77291
jo.usembassy.gov,76155,130713,39782,1.716407327,71.05939203,75018
search.gsa.gov,76155,117074,46602,1.537312061,34.47746044,69335
ies.ed.gov,75018,244377,54559,3.257578181,239.2576582,72745
wcms-wp.cdc.gov,75018,419419,6820,5.590911515,1626.48539,75018
armyupress.army.mil,73881,117074,59105,1.584629336,68.46190496,73881
founders.archives.gov,73881,94341,62515,1.276931823,120.2006335,71608
nass.usda.gov,73881,251197,65925,3.400021656,126.508358,76155
sbx.mcc.gov,73881,73881,73881,1,0,73881
sites.ed.gov,73881,180725,63652,2.446163425,73.63115009,77291
th.usembassy.gov,73881,197775,60242,2.676939944,262.2167675,72745
usace.army.mil,73881,137533,65925,1.861547624,120.1852438,72745
cameochemicals.noaa.gov,72745,98887,62515,1.359364905,52.35919995,72745
cpsearch.fas.gsa.gov,72745,554679,39782,7.624977662,307.9208193,75018
globaldossier.uspto.gov,72745,170496,28416,2.343748711,245.2335418,77291
ope.ed.gov,72745,100024,78428,1.374994845,13.85933054,85248
cl.usembassy.gov,71608,155719,47739,2.174603396,171.5717099,71608
csa.fmcsa.dot.gov,71608,319395,52285,4.460325662,217.6987627,72745
docsteach.org,71608,272793,54559,3.809532454,141.9843593,71608
marforres.marines.mil,71608,188682,47739,2.634929058,93.6985672,76155
occ.treas.gov,71608,107980,56832,1.507932075,59.74613172,70471
bd.usembassy.gov,70471,167086,40919,2.370989485,203.1626627,65925
coast.noaa.gov,70471,159129,56832,2.258077791,137.1783571,70471
dodig.mil,70471,123893,30689,1.758070696,115.4040102,70471
grants.nih.gov,70471,112527,64788,1.596784493,56.11328064,73881
ifap.ed.gov,70471,211414,40919,3.00001419,132.1138057,72745
2001-2009.state.gov,69335,90931,65925,1.311473282,72.73753516,69335
cac.mil,69335,119347,60242,1.721309584,89.37685152,68198
iqrs.npdb.hrsa.gov,69335,200048,30689,2.885238336,269.8846326,111390
justthinktwice.gov,69335,218234,63652,3.147530107,99.73747746,69335
nro.gov,69335,89794,21596,1.295074638,74.72113651,69335
occ.gov,69335,140943,51149,2.032782866,93.52438163,68198
physics.nist.gov,69335,238694,60242,3.442619168,179.73729,77291
findahealthcenter.hrsa.gov,68198,76155,50012,1.116674976,36.68343646,68198
gps.gov,68198,131850,56832,1.933341154,133.9670665,68198
nwis.waterdata.usgs.gov,68198,248923,50012,3.650004399,134.4337371,64788
waterwatch.usgs.gov,68198,135260,23869,1.98334262,136.3170767,61378
amc.af.mil,67062,144353,55695,2.152530494,201.9817482,64788
americanenglish.state.gov,67062,277339,64788,4.135561123,103.2196773,64788
ginniemae.gov,67062,128440,34099,1.915242611,148.5414094,64788
ht.usembassy.gov,67062,119347,32962,1.779651666,140.6262116,67062
moneyfactory.gov,67062,129577,57968,1.932197071,71.88088634,67062
nibib.nih.gov,67062,98887,68198,1.474560854,68.21990099,68198
phmsa.dot.gov,67062,236420,53422,3.525394411,147.2702425,67062
doi.usajobs.gov,65925,81838,65925,1.241380356,37.67237012,64788
fai.gov,65925,134123,59105,2.034478574,57.48270004,65925
jcs.mil,65925,151173,54559,2.293105802,150.7412211,64788
organdonor.gov,65925,162539,51149,2.465513841,172.4998256,65925
usaspending.gov,65925,317122,45465,4.810345089,162.4308684,62515
cr.usembassy.gov,64788,150036,47739,2.315799222,114.4742082,63652
jbsa.mil,64788,109117,52285,1.684216213,84.96530222,64788
af.usembassy.gov,63652,182999,39782,2.874992145,244.409398,62515
amp.fas.gsa.gov,63652,2131194,2273,33.48196443,1500.84907,63652
bts.gov,63652,122757,55695,1.928564696,121.624348,63652
disa.mil,63652,187545,46602,2.946411739,68.17820336,63652
gibill.custhelp.va.gov,63652,238694,62515,3.74998429,224.6416452,55695
autoauctions.gsa.gov,62515,365997,23869,5.854546909,196.0727985,62515
dod.defense.gov,62515,80701,60242,1.290906183,27.63637527,63652
eoffer.gsa.gov,62515,467158,43192,7.472734544,349.4910342,63652
ngs.noaa.gov,62515,203458,46602,3.254546909,309.000096,62515
nifa.usda.gov,62515,112527,53422,1.8,197.1091578,59105
amberalert.ojp.gov,61378,93204,55695,1.518524553,22.81494998,61378
e-publishing.af.mil,61378,122757,40919,2.000016292,156.3157972,60242
findit.state.gov,61378,105707,40919,1.722229463,32.68539216,51149
public.cyber.mil,61378,126167,45465,2.055573658,205.4457297,60242
bcaws.aviationweather.gov,60242,61378,60242,1.018857276,23.66027024,60242
data.medicare.gov,60242,144353,32962,2.396218585,98.56561867,57968
nodc.noaa.gov,60242,94341,42056,1.566033664,71.07518011,60242
bphc.hrsa.gov,59105,130713,39782,2.211538787,20.13465866,68198
mentalhealth.gov,59105,87521,43192,1.480771508,70.26936807,59105
mrdc.amedd.army.mil,59105,103434,6820,1.75000423,350.9814229,59105
pendleton.marines.mil,59105,77291,48875,1.307689705,52.48087302,59105
portal.gdc.cancer.gov,59105,89794,36372,1.519228492,79.38475594,55695
accesstocare.va.gov,57968,146626,54559,2.52943003,163.6876208,37509
account.uspto.gov,57968,89794,43192,1.549027049,117.9029292,48875
childcare.gov,57968,118210,52285,2.03922854,72.68686172,57968
zh.usps.com,57968,76155,30689,1.313742065,130.5304823,51149
connect.acf.hhs.gov,56832,72745,5683,1.280000704,130.4396291,55695
fedramp.gov,56832,86384,45465,1.519988739,60.77982475,56832
jm.usembassy.gov,56832,104571,36372,1.840002111,141.079603,56832
nssl.noaa.gov,56832,79565,52285,1.400003519,52.77984234,55695
ors.od.nih.gov,56832,144353,48875,2.539995073,125.7996375,57968
uz.usembassy.gov,56832,98887,31826,1.739988035,233.0593328,55695
extsharepoint.nsf.gov,55695,462611,5683,8.306149565,829.2070742,55695
gettested.cdc.gov,55695,134123,50012,2.408169495,80.4900799,56832
globalchange.gov,55695,69335,48875,1.244905288,64.20430918,55695
insurekidsnow.gov,55695,90931,44329,1.632660023,115.000413,55695
kz.usembassy.gov,55695,189818,32962,3.408169495,197.0415298,54559
nccd.cdc.gov,55695,159129,31826,2.857150552,263.6540084,52285
nellis.af.mil,55695,84111,43192,1.510207379,53.79610378,54559
pe.usps.gov,55695,131850,10230,2.367357932,237.6131071,53422
clintonlibrary.gov,54559,72745,54559,1.333327224,15.97903187,54559
epas.uspto.gov,54559,610374,46602,11.18741179,402.8926117,61378
fsd.gov,54559,254607,31826,4.666636119,93.52007918,53422
ke.usembassy.gov,54559,98887,34099,1.812478235,257.2271119,56832
lb.usembassy.gov,54559,87521,37509,1.604153302,107.269983,53422
mcrdpi.marines.mil,54559,109117,39782,1.999981671,145.8321633,52285
search.dea.gov,54559,87521,27279,1.604153302,152.5404425,51149
usafa.af.mil,54559,63652,45465,1.166663612,30.95808208,53422
global.armymwr.com,53422,88658,32962,1.659578451,68.76586425,50012
jblm.armymwr.com,53422,98887,47739,1.851053873,47.40419677,53422
kadena.af.mil,53422,80701,19323,1.510632324,182.4891056,53422
ncifrederick.cancer.gov,53422,89794,26143,1.680843098,70.44670735,54559
openi.nlm.nih.gov,53422,88658,55695,1.659578451,154.0210587,52285
pppl.gov,53422,348947,10230,6.531896971,536.2545955,53422
prod-earthquake.cr.usgs.gov,53422,80701,20459,1.510632324,186.8933585,53422
abmc.gov,52285,284159,43192,5.434809219,215.5446686,52285
edelweisslodgeandresort.com,52285,159129,42056,3.043492397,89.76136559,52285
eld.fmcsa.dot.gov,52285,195502,19323,3.739160371,254.6535909,53422
invasivespeciesinfo.gov,52285,110254,38646,2.108711868,88.19613656,56832
knowva.ebenefits.va.gov,52285,78428,27279,1.500009563,79.93522043,54559
mrdata.usgs.gov,52285,117074,45465,2.239150808,196.9576169,54559
oig.justice.gov,52285,94341,50012,1.804360715,71.76126996,50012
ovc.gov,52285,64788,42056,1.239131682,35.89149852,52285
scott.af.mil,52285,113664,26143,2.173931338,131.0007268,52285
admin.myhealth.va.gov,51149,323941,15913,6.333281198,557.7073257,51149
ec.usembassy.gov,51149,161402,37509,3.155526012,148.4212204,44329
foreignlaborcert.doleta.gov,51149,102297,36372,1.999980449,195.3542396,52285
ng.usembassy.gov,51149,70471,42056,1.377759096,78.04391093,51149
np.usembassy.gov,51149,114800,34099,2.244423156,277.1092299,52285
outreach.usda.gov,51149,118210,43192,2.311091126,26.71092299,52285
search.cms.gov,51149,103434,30689,2.022209623,125.4880447,51149
seedfund.nsf.gov,51149,194365,40919,3.799976539,99.71043422,54559
snaped.fns.usda.gov,51149,71608,45465,1.39998827,87.13274942,45465
veteranshealthlibrary.va.gov,51149,93204,46602,1.822205713,228.220669,34099
ccmc.gsfc.nasa.gov,50012,238694,6820,4.772734544,635.7274854,50012
ccr.cancer.gov,50012,113664,34099,2.272734544,224.4546109,47739
et.usembassy.gov,50012,84111,31826,1.681816364,86.11367272,50012
gh.usembassy.gov,50012,90931,37509,1.818183636,118.8636727,50012
ie.usembassy.gov,50012,115937,29553,2.318183636,217.9318963,51149
jobs.cdc.gov,50012,186408,45465,3.727265456,68.40912181,54559
lr.usembassy.gov,50012,76155,26143,1.522734544,73.88638727,48875
pt.usembassy.gov,50012,110254,44329,2.204550908,119.0227745,48875
